Bohemian Rhapsody,2018,Bryan Singer,8.2,49,"Budget:$52,000,000"
Green Book,2018,Peter Farrelly,8.3,69,"Budget:$23,000,000"
Roma,2018,Alfonso Cuarón,8.0,96,No Budget Found
Spider-Man: Into the Spider-Verse,2018,Bob Persichetti,8.7,87,"Budget:$90,000,000"
How to Train Your Dragon: The Hidden World,2019,Dean DeBlois,8.0,74,"Budget:$129,000,000"
Doragon bôru chô: Burorî,2018,Tatsuya Nagamine,8.3,59,"Budget:$8,500,000"
Avengers: Infinity War,2018,Anthony Russo,8.5,68,"Budget:$321,000,000"
Fighting with My Family,2019,Stephen Merchant,8.2,69,No Budget Found
Uri: The Surgical Strike,2019,Aditya Dhar,9.1,No Metascore,"Budget:INR 450,000,000"
The Godfather,1972,Francis Ford Coppola,9.2,100,"Budget:$6,000,000"
Interstellar,2014,Christopher Nolan,8.6,74,"Budget:$165,000,000"
The Dark Knight,2008,Christopher Nolan,9.0,84,"Budget:$185,000,000"
The Shawshank Redemption,1994,Frank Darabont,9.3,80,"Budget:$25,000,000"
Pulp Fiction,1994,Quentin Tarantino,8.9,94,"Budget:$8,000,000"
The Big Lebowski,1998,Joel Coen,8.1,71,"Budget:$15,000,000"
Inception,2010,Christopher Nolan,8.8,74,"Budget:$160,000,000"
Gone Girl,2014,David Fincher,8.1,79,"Budget:$61,000,000"
"Three Billboards Outside Ebbing, Missouri",2017,Martin McDonagh,8.2,88,"Budget:$15,000,000"
Schindler's List,1993,Steven Spielberg,8.9,93,"Budget:$22,000,000"
Deadpool,2016,Tim Miller,8.0,65,"Budget:$58,000,000"
Blade Runner 2049,2017,Denis Villeneuve,8.0,81,"Budget:$150,000,000"
The Wolf of Wall Street,2013,Martin Scorsese,8.2,75,"Budget:$100,000,000"
The Departed,2006,Martin Scorsese,8.5,85,"Budget:$90,000,000"
Forrest Gump,1994,Robert Zemeckis,8.8,82,"Budget:$55,000,000"
The Revenant,2015,Alejandro G. Iñárritu,8.0,76,"Budget:$135,000,000"
The Lord of the Rings: The Fellowship of the Ring,2001,Peter Jackson,8.8,92,"Budget:$93,000,000"
Logan,2017,James Mangold,8.1,77,"Budget:$97,000,000"
The Dark Knight Rises,2012,Christopher Nolan,8.4,78,"Budget:$250,000,000"
The Godfather: Part II,1974,Francis Ford Coppola,9.0,90,"Budget:$13,000,000"
Guardians of the Galaxy,2014,James Gunn,8.1,76,"Budget:$170,000,000"
Jaws,1975,Steven Spielberg,8.0,87,"Budget:$8,000,000"
How to Train Your Dragon,2010,Dean DeBlois,8.1,74,"Budget:$165,000,000"
Wonder,2017,Stephen Chbosky,8.0,66,"Budget:$20,000,000"
Inglourious Basterds,2009,Quentin Tarantino,8.3,69,"Budget:$75,000,000"
Mad Max: Fury Road,2015,George Miller,8.1,90,No Budget Found
Jurassic Park,1993,Steven Spielberg,8.1,68,"Budget:$63,000,000"
The Silence of the Lambs,1991,Jonathan Demme,8.6,85,"Budget:$19,000,000"
Goodfellas,1990,Martin Scorsese,8.7,89,"Budget:$25,000,000"
The Report,2019,Scott Z. Burns,8.3,81,No Budget Found
Capharnaüm,2018,Nadine Labaki,8.2,74,"Budget:$4,000,000"
The Matrix,1999,Lana Wachowski,8.7,73,"Budget:$63,000,000"
Django Unchained,2012,Quentin Tarantino,8.4,81,"Budget:$100,000,000"
La La Land,2016,Damien Chazelle,8.0,93,"Budget:$30,000,000"
Harry Potter and the Deathly Hallows: Part 2,2011,David Yates,8.1,87,"Budget:$125,000,000"
No Country for Old Men,2007,Ethan Coen,8.1,91,"Budget:$25,000,000"
Gladiator,2000,Ridley Scott,8.5,67,"Budget:$103,000,000"
Ahlat Agaci,2018,Nuri Bilge Ceylan,8.3,85,No Budget Found
The Intouchables,2011,Olivier Nakache,8.5,57,"Budget:€9,500,000"
The Avengers,2012,Joss Whedon,8.1,69,"Budget:$220,000,000"
Manbiki kazoku,2018,Hirokazu Koreeda,8.1,93,No Budget Found
Prisoners,2013,Denis Villeneuve,8.1,74,"Budget:$46,000,000"
The Lord of the Rings: The Return of the King,2003,Peter Jackson,8.9,94,"Budget:$94,000,000"
Star Wars,1977,George Lucas,8.6,90,"Budget:$11,000,000"
The Prestige,2006,Christopher Nolan,8.5,66,"Budget:$40,000,000"
Coco,2017,Lee Unkrich,8.4,81,"Budget:$175,000,000"
Raiders of the Lost Ark,1981,Steven Spielberg,8.5,85,"Budget:$18,000,000"
The Princess Bride,1987,Rob Reiner,8.1,77,"Budget:$16,000,000"
The Incredibles,2004,Brad Bird,8.0,90,"Budget:$92,000,000"
Casino Royale,2006,Martin Campbell,8.0,80,"Budget:$150,000,000"
Fight Club,1999,David Fincher,8.8,66,"Budget:$63,000,000"
Apocalypse Now,1979,Francis Ford Coppola,8.5,94,"Budget:$31,500,000"
Pan's Labyrinth,2006,Guillermo del Toro,8.2,98,"Budget:€13,500,000"
Léon,1994,Luc Besson,8.6,64,"Budget:FRF 115,000,000"
Se7en,1995,David Fincher,8.6,65,"Budget:$33,000,000"
The Sixth Sense,1999,M. Night Shyamalan,8.1,64,"Budget:$40,000,000"
The Shining,1980,Stanley Kubrick,8.4,63,"Budget:$19,000,000"
Requiem for a Dream,2000,Darren Aronofsky,8.3,68,"Budget:$4,500,000"
Lion,2016,Garth Davis,8.1,69,"Budget:$12,000,000"
The Green Mile,1999,Frank Darabont,8.5,61,"Budget:$60,000,000"
The Wizard of Oz,1939,Victor Fleming,8.0,100,"Budget:$2,800,000"
The Lion King,1994,Roger Allers,8.5,83,"Budget:$45,000,000"
A Clockwork Orange,1971,Stanley Kubrick,8.3,80,"Budget:$2,200,000"
Hacksaw Ridge,2016,Mel Gibson,8.1,71,"Budget:$40,000,000"
Batman Begins,2005,Christopher Nolan,8.3,70,"Budget:$150,000,000"
Room,2015,Lenny Abrahamson,8.2,86,"Budget:$13,000,000"
One Flew Over the Cuckoo's Nest,1975,Milos Forman,8.7,80,"Budget:$4,400,000"
Scarface,1983,Brian De Palma,8.3,65,"Budget:$25,000,000"
Saving Private Ryan,1998,Steven Spielberg,8.6,91,"Budget:$70,000,000"
Whiplash,2014,Damien Chazelle,8.5,88,"Budget:$3,300,000"
Good Will Hunting,1997,Gus Van Sant,8.3,70,"Budget:$10,000,000"
The Help,2011,Tate Taylor,8.1,62,"Budget:$25,000,000"
Heat,1995,Michael Mann,8.2,76,"Budget:$60,000,000"
Sin City,2005,Frank Miller,8.0,74,No Budget Found
American Beauty,1999,Sam Mendes,8.4,86,"Budget:$15,000,000"
2001: A Space Odyssey,1968,Stanley Kubrick,8.3,82,"Budget:$12,000,000"
Blade Runner,1982,Ridley Scott,8.2,89,"Budget:$28,000,000"
The Grand Budapest Hotel,2014,Wes Anderson,8.1,88,"Budget:$25,000,000"
Star Wars: Episode VII - The Force Awakens,2015,J.J. Abrams,8.0,81,"Budget:$245,000,000"
Back to the Future,1985,Robert Zemeckis,8.5,87,"Budget:$19,000,000"
Warrior,2011,Gavin O'Connor,8.2,71,"Budget:$25,000,000"
Taxi Driver,1976,Martin Scorsese,8.3,94,"Budget:$1,300,000"
Alien,1979,Ridley Scott,8.5,83,"Budget:$11,000,000"
"Il buono, il brutto, il cattivo",1966,Sergio Leone,8.9,90,"Budget:$1,200,000"
Star Trek,2009,J.J. Abrams,8.0,82,"Budget:$150,000,000"
Rocky,1976,John G. Avildsen,8.1,70,"Budget:$960,000"
The Usual Suspects,1995,Bryan Singer,8.6,77,"Budget:$6,000,000"
Shutter Island,2010,Martin Scorsese,8.1,63,"Budget:$80,000,000"
Her,2013,Spike Jonze,8.0,90,"Budget:$23,000,000"
Once Upon a Time in America,1984,Sergio Leone,8.4,No Metascore,"Budget:$30,000,000"
Groundhog Day,1993,Harold Ramis,8.0,72,"Budget:$14,600,000"
